About,crwdns112978:0crwdne112978:0,
Actions,crwdns113048:0crwdne113048:0,
Administrator,crwdns113242:0crwdne113242:0,
Advanced Search,crwdns113254:0crwdne113254:0,
All,crwdns113294:0crwdne113294:0,
All Day,crwdns113300:0crwdne113300:0,
An error occurred while setting Session Defaults,crwdns113488:0crwdne113488:0,
Apps,crwdns148374:0crwdne148374:0,
Automatic,crwdns113900:0crwdne113900:0,
Average,crwdns113916:0crwdne113916:0,
Back,crwdns113970:0crwdne113970:0,
Back to Login,crwdns113976:0crwdne113976:0,
Basic,crwdns144152:0crwdne144152:0,
Blue,crwdns144196:0crwdne144196:0,
Both login and password required,crwdns114156:0crwdne114156:0,
Cache Cleared,crwdns114298:0crwdne114298:0,
Cancel,crwdns114354:0crwdne114354:0,
Card,crwdns144304:0crwdne144304:0,
Chart,crwdns144330:0crwdne144330:0,
Choose an icon,crwdns114638:0crwdne114638:0,
Color,crwdns114782:0crwdne114782:0,
Content,crwdns144470:0crwdne144470:0,
Create a new {0},crwdns115212:0{0}crwdne115212:0,
Dark Theme,crwdns115496:0crwdne115496:0,
Dashboard,crwdns115498:0crwdne115498:0,
Data Clipped,crwdns115552:0crwdne115552:0,
Description,crwdns115818:0crwdne115818:0,
DocType,crwdns116000:0crwdne116000:0,
Don't have an account?,crwdns116296:0crwdne116296:0,
Email,crwdns116472:0crwdne116472:0,
Email Address,crwdns116518:0crwdne116518:0,
Enter Code displayed in OTP App.,crwdns116802:0crwdne116802:0,
Estonia,Estonia,
Filters applied for {0},crwdns117346:0{0}crwdne117346:0,
Frappe,crwdns117594:0crwdne117594:0,
Frappe Light,crwdns117602:0crwdne117602:0,
Frappe Support,crwdns117604:0crwdne117604:0,
Full Name,crwdns117652:0crwdne117652:0,
Green,crwdns145304:0crwdne145304:0,
Have an account? Login,crwdns117966:0crwdne117966:0,
Help,crwdns118008:0crwdne118008:0,
Hide,crwdns118066:0crwdne118066:0,
Home,crwdns118142:0crwdne118142:0,
Iceland,Iceland,
Icon,crwdns118192:0crwdne118192:0,
Instructions Emailed,crwdns118590:0crwdne118590:0,
Inter,crwdns145584:0crwdne145584:0,
Invalid Login Token,crwdns118686:0crwdne118686:0,
Invalid Login. Try again.,crwdns118688:0crwdne118688:0,
Invalid Request,crwdns118708:0crwdne118708:0,
Item Type,crwdns145670:0crwdne145670:0,
